env,task,stage,final_error_m_mean,success_5mm_mean,hold_5mm_mean,ee_acc_rms_mean,ee_acc_p2p_mean,ee_jerk_rms_mean,action_delta_mean_mean,vibration_index_mean,neighborhood_error_std_m_mean
Panda,fixed,1_TD3,0.0012980297942816554,1.0,1.0,2.227248701176823,13.560786357698126,44.900624243204774,0.08411540541444881,1.2847039935806248,0.00047142834317112284
Panda,fixed,2_TD3+HER,0.0024273902642014196,1.0,1.0,2.8301220876152424,15.251219345414018,63.39095338294572,0.09629981213443908,1.6327881413328675,0.0006651223377809556
Panda,fixed,3_+课程+稳定(无伺服),0.0030298983016826676,1.0,1.0,2.9852170693678466,17.120473890644128,65.45504383938157,0.11396170222544665,1.7227267451053527,0.00045014926041568164
Panda,fixed,4_完整(+伺服),0.00015330341273864635,1.0,1.0,0.5004958899519386,2.7123705007700267,9.935384207359345,0.03248585371998329,0.288086186573763,0.0005897500411893985
Panda,random,1_TD3,0.0016495228265232767,1.0,1.0,5.479666737993074,36.05159429100557,122.51016173621511,0.08402760902347954,3.158559239635378,0.00045963392690798806
Panda,random,2_TD3+HER,0.0014061131681874616,1.0,1.0,6.657522244829349,43.46173147705869,152.92129494534748,0.1385019442053579,3.837981577145817,0.0006780184192211209
Panda,random,3_+课程+稳定(无伺服),0.0026139369767443654,1.0,1.0,6.959870988732555,43.78966071079716,160.43591150805148,0.15642653813801238,4.012896772428389,0.0006505884037802726
Panda,random,4_完整(+伺服),0.0001792533967890447,1.0,1.0,0.5663738012672808,2.782178620755387,11.050828532402594,0.03398852310037332,0.32645983527126166,0.0005709513980136811
IRB120,fixed,1_TD3,0.23554478607902948,0.0,0.0,0.2120283525692584,2.980256827545566,3.536794693063131,0.013349280914839726,0.12241449739793904,0.0029692059423793694
IRB120,fixed,2_TD3+HER,0.23554478607902948,0.0,0.0,0.2120283525692584,2.980256827545566,3.536794693063131,0.013349280914839726,0.12241449739793904,0.0029692059423793694
IRB120,fixed,3_+课程+稳定(无伺服),0.23554478607902948,0.0,0.0,0.2120283525692584,2.980256827545566,3.536794693063131,0.013349280914839726,0.12241449739793904,0.0029692059423793694
IRB120,fixed,4_完整(+伺服),0.0002530371498773141,1.0,1.0,0.020976292336828236,0.11455361703977555,0.397789913727375,0.003259155862557267,0.012107000545053396,7.560802806875421e-06
IRB120,random,1_TD3,0.26637513167380267,0.0,0.0,0.2105967778891181,3.1693737964098156,3.561818080031702,0.013446845658978366,0.12158795713098786,0.0028285871339949155
IRB120,random,2_TD3+HER,0.26637513167380267,0.0,0.0,0.2105967778891181,3.1693737964098156,3.561818080031702,0.013446845658978366,0.12158795713098786,0.0028285871339949155
IRB120,random,3_+课程+稳定(无伺服),0.26637513167380267,0.0,0.0,0.2105967778891181,3.1693737964098156,3.561818080031702,0.013446845658978366,0.12158795713098786,0.0028285871339949155
IRB120,random,4_完整(+伺服),0.0003900861695229076,1.0,1.0,0.017618497700803745,0.08872781651244727,0.32592081533457207,0.005146341751033056,0.010169493543088543,4.702519746598755e-05
