stage,task,note,final_error_m_mean,success_5mm_mean,hold_5mm_mean,ee_acc_rms_mean,ee_acc_p2p_mean,ee_jerk_rms_mean,action_delta_mean_mean,vibration_index_mean
TD3,fixed,普通 TD3,0.0005822773716919,1.0,1.0,2.2176003496635186,13.561005529556407,44.75897795222109,0.048654399340221,1.2791513638382148
TD3,random,普通 TD3,0.0017014829174949,1.0,1.0,5.96943483658672,38.37990649543795,131.05755118369805,0.0487743662946076,3.4407247070919627
TD3+HER,fixed,加入 HER,0.0011883527979412,1.0,1.0,2.8099786534066085,15.265565591571322,62.91814808470413,0.0555755276297441,1.621203542091051
TD3+HER,random,加入 HER,0.0018503083312197,0.9333333333333332,0.94,7.183013760396852,44.52628961491381,162.63486384320314,0.1768489661285278,4.140680719133594
TD3+HER+课程学习,fixed,加入自适应课程学习，原始策略输出,0.0028501201920835,1.0,1.0,4.75379581498989,27.80284224035184,107.24210048643664,0.1191317139681745,2.742398794865436
TD3+HER+课程学习,random,加入自适应课程学习，原始策略输出,0.0018498024818785,1.0,1.0,7.1640457357936205,44.41643722075521,162.20828903801194,0.1153950163676754,4.130130057195549
TD3+HER+课程学习+动作平滑,fixed,评估端加入稳定动作滤波,0.0021870205297994,1.0,1.0,1.904552368074373,11.440646193550188,36.70406771373784,0.0614049213839154,1.0983000077526794
TD3+HER+课程学习+动作平滑,random,评估端加入稳定动作滤波,0.0018921558388358,1.0,1.0,6.673702013498814,40.13446768840341,139.7488063333799,0.0907224416429096,3.8466512524086096
完整方法,fixed,稳定性约束 + 近目标精密伺服,1.944497165350665e-05,1.0,1.0,0.6913445331586519,4.476632035081963,13.655715895520824,0.0107541121953531,0.3983569030169366
完整方法,random,稳定性约束 + 近目标精密伺服,0.0002073073106145,1.0,1.0,0.8562418588245099,5.1646595343008,16.56876903092321,0.0142688002166597,0.493414451369612
