action_delta_mean_mean,action_delta_mean_std,algo,disturbance,ee_acc_p2p_mean,ee_acc_p2p_std,ee_acc_peak_mean,ee_acc_peak_std,ee_acc_rms_mean,ee_acc_rms_std,ee_jerk_rms_mean,ee_jerk_rms_std,episode_mean,episode_std,final_error_m_mean,final_error_m_std,hold_5mm_mean,hold_5mm_std,joint_acc_rms_mean,joint_acc_rms_std,mean_error_m_mean,mean_error_m_std,min_error_m_mean,min_error_m_std,reward_sum_mean,reward_sum_std,success_10mm_mean,success_10mm_std,success_20mm_mean,success_20mm_std,success_30mm_mean,success_30mm_std,success_50mm_mean,success_50mm_std,success_5mm_mean,success_5mm_std,task,vibration_index_mean,vibration_index_std
0.035838799314181304,7.742002795753612e-09,DDPG,medium,18.205516064415026,0.0,19.23985420863345,3.552713678800501e-15,3.0732972574970887,1.6934044414975363e-08,69.1724244280827,8.975745816178562e-08,14.5,8.65544144839919,0.0015555741147070994,1.0823544441697697e-09,1.0,0.0,0.0,0.0,0.005814179561294593,4.824688446783277e-10,0.0014551578933991777,2.1380898181256493e-09,46.783706290795905,1.377272964011589e-08,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,fixed,1.7710238280958772,1.0083875171252484e-08
0.04865439934022102,1.3525849297192784e-07,TD3,medium,13.561005529556407,8.99185683814035e-05,9.71238190470027,1.7763568394002505e-15,2.2176003496635186,2.4384855759268822e-05,44.75897795222109,0.0006958351997179345,14.5,8.65544144839919,0.0005822773716919797,1.1631205116570446e-09,1.0,0.0,0.0,0.0,0.005652252611428938,6.750035163104578e-09,0.0005822773716919797,1.1631205116570446e-09,46.772820531304745,6.1334645164804e-07,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,fixed,1.2791513638382148,1.4091736317476781e-05
0.027501839679894478,4.439478422772859e-08,SAC,medium,14.488670002271022,0.0,13.697153970545417,1.7763568394002505e-15,2.45183770972635,9.091244138551532e-07,46.83526806325743,1.488958707910965e-05,14.5,8.65544144839919,0.0009282468933027566,1.4751321489898842e-09,1.0,0.0,0.0,0.0,0.0054308837609832366,1.0111614134566645e-09,0.0009120640364756675,4.230178872708297e-09,46.80491667649762,4.907834354985436e-08,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,fixed,1.4134444285645489,5.258470679558729e-07
0.028118328464103007,3.672454721523231e-08,TQC,medium,14.555684063529347,5.329070518200751e-15,13.765747037912332,3.552713678800501e-15,2.4678802077080766,5.900234042107173e-07,46.876235577681385,2.7872321345262567e-05,14.5,8.65544144839919,0.0018948986864809104,3.168495050521634e-09,1.0,0.0,0.0,0.0,0.006305788265205791,4.809435070721645e-09,0.0018134704268138698,2.1901899463090935e-09,46.758921097629155,1.947639176468128e-07,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,fixed,1.4226991904989505,3.4165831049814247e-07
0.04284832317586473,6.274218601951723e-07,SAC_HER,medium,12.354096748456403,3.552713678800501e-15,10.781305821381633,0.0,2.243350897457065,1.7426147046706113e-05,41.0919850529906,0.00046341590639529834,14.5,8.65544144839919,0.0012966312513754818,1.3509161500215633e-09,1.0,0.0,0.0,0.0,0.005944651734848445,2.8532019279937563e-08,0.0012750760947258923,1.5800418974826768e-07,46.77005684866516,1.3881066854444188e-06,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,fixed,1.2937607855954056,1.0072360474290708e-05
0.05557552762974416,5.067108313318179e-07,TD3_HER,medium,15.265565591571322,0.0007980994078242634,10.735345426868959,3.552713678800501e-15,2.8099786534066085,4.3339041017773806e-05,62.91814808470413,0.0011493677475152586,14.5,8.65544144839919,0.001188352797941205,2.2165626731301442e-09,1.0,0.0,0.0,0.0,0.005789055284978835,8.856892340998228e-09,0.0003239605213647599,1.0842021724855044e-19,46.74791694490984,1.4505901286061964e-07,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,fixed,1.621203542091051,2.5039443644816432e-05
0.038711430313144085,2.2524999845027545e-08,TQC_HER,medium,12.69007187027696,3.8513095958021154e-05,10.680711229524531,3.552713678800501e-15,2.3223809440791934,2.4783710672061158e-06,43.113963205165454,7.307874226492604e-05,14.5,8.65544144839919,0.0027091829310212285,5.753643115508729e-09,1.0,0.0,0.0,0.0,0.007278634399494207,1.1315074472126936e-08,0.0027091829310212285,5.753643115508729e-09,46.69947774072226,5.655206730453114e-07,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,fixed,1.3394637153889655,1.4325520582639247e-06
0.06140492138391545,7.992165996029438e-07,TD3_HER_CURRICULUM,medium,11.440646193550188,5.329070518200751e-15,9.41987372604758,3.552713678800501e-15,1.904552368074373,1.2540053645993897e-05,36.704067713737835,0.000437921704477645,14.5,8.65544144839919,0.0021870205297994123,6.415279880836824e-09,1.0,0.0,0.0,0.0,0.011008893712554669,1.3448239357235625e-07,0.0013976768265762639,2.5646615255462583e-07,32.52056424268997,7.022550665303894e-06,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,fixed,1.0983000077526794,7.248463298482279e-06
0.03980166757098742,0.009502255051092479,DDPG,medium,36.94432677265717,7.656045497884342,34.224679542599446,9.130194975926269,5.6629733765851835,1.4627674381795286,125.14046956749351,30.01488348599566,14.5,8.65544144839919,0.0021182445426810364,0.0010373632635888544,0.9666666666666667,0.17950549357115012,0.0,0.0,0.010029918536966265,0.004027177940597859,0.0017433137768584652,0.000772749416725293,44.36181562376602,8.497806181586508,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9666666666666667,0.17950549357115012,random,3.263764219966336,0.8429884501613435
0.04877436629460765,0.01415253321740873,TD3,medium,38.37990649543795,6.96230658024023,34.98885470206315,8.911685698608478,5.96943483658672,1.349136742625821,131.05755118369805,25.266341889938097,14.5,8.65544144839919,0.001701482917494963,0.0006019777319192719,1.0,0.0,0.0,0.0,0.009717896192216005,0.0038381590444965925,0.0014106768908524242,0.00059326173624495,45.6944551400587,1.5934261542730146,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,random,3.4407247070919627,0.7774443568022072
0.03592962329942225,0.008071715738181977,SAC,medium,30.69865923496154,8.140236801784816,28.54382669468558,8.414677928640087,4.751539462213145,1.3138438340402525,99.26708777569714,25.422405995682062,14.5,8.65544144839919,0.002039338294459491,0.0007887808397998769,1.0,0.0,0.0,0.0,0.0102499292507141,0.0037466308171030505,0.0016203112194253892,0.0007556769569389258,45.78800309991621,1.303287641919429,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,random,2.7385302475397943,0.7570892142924777
0.03774794853356519,0.008961653358614619,TQC,medium,33.04071212079761,7.024760190275558,30.340671072195867,7.771427738340332,5.033915366211187,1.2119422371796866,107.10822108685736,24.296332899066428,14.5,8.65544144839919,0.0012996215080296992,0.000795363551780545,1.0,0.0,0.0,0.0,0.009438792302033403,0.003722017208135155,0.0008881868323241585,0.000545030264707074,46.026424341993994,1.4044383432780636,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,random,2.9012419815566743,0.6983806337720304
0.7617024519455418,0.43753932304697113,SAC_HER,medium,43.595097942777684,8.774682719349784,33.860490831547864,6.798716052685622,7.396949425635021,1.6701502318630412,165.25182108624574,43.94454288374533,14.5,8.65544144839919,0.006957759463397959,0.0034741950839754653,0.4266666666666667,0.417079795189788,0.0,0.0,0.01396628157409784,0.005004535558432695,0.0025659319056668324,0.0009911505518037322,17.451703622124903,16.86935561011249,0.8,0.4,1.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.4714045207910317,random,4.261476144769549,0.9607855408934095
0.17684896612852785,0.31680657230007614,TD3_HER,medium,44.526289614913814,5.155635159058247,40.039627193173935,7.6733622128774535,7.183013760396852,1.2280298063743342,162.63486384320314,29.35960292196031,14.5,8.65544144839919,0.0018503083312197976,0.001235166803179886,0.94,0.22597935008904393,0.0,0.0,0.00983566749672033,0.00408412292132472,0.0013603890926661923,0.0009970929651963263,42.99866058889612,9.02137329608916,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9333333333333333,0.24944382578492943,random,4.140680719133594,0.7077206344453122
0.8246087927186416,0.5035919820252649,TQC_HER,medium,40.480393307187526,7.327847225795914,31.931956544203462,7.534637951942998,6.9429043766339715,1.5532103374578032,152.56072010386873,30.52060823448769,14.5,8.65544144839919,0.007202674269348486,0.005141446892392126,0.4266666666666667,0.38116779623794145,0.0,0.0,0.01449105446912063,0.0044625586189780166,0.002497210043898889,0.001447984730505583,17.185916850967523,17.784024080505304,0.7666666666666667,0.42295258468165065,1.0,0.0,1.0,0.0,1.0,0.0,0.4666666666666667,0.49888765156985887,random,3.998933908251774,0.8957140288247655
0.09072244164290968,0.018076431508819536,TD3_HER_CURRICULUM,medium,40.134467688403404,6.140857047627625,39.18948340926839,8.225537397640558,6.673702013498814,1.3377187611971642,139.7488063333799,29.909486756609915,14.5,8.65544144839919,0.0018921558388358382,0.0009063907158125764,1.0,0.0,0.0,0.0,0.017975599854964244,0.005094329395387569,0.001349909724549962,0.0008255669683217267,29.239104708340253,2.9005711445769653,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,random,3.8466512524086096,0.7710312451764155
